Hazard Leopard Team Member Leading,Phase of Hazards Project,IPCC CID Category for Reference Only,Climate Hazard,Hazard Definition and Climate Change Effects on Drivers,Sector,Project Tags,IPCC CID for Reference Only,Finer Resolution Categories,Climate Variable Categories,Confidence in the Projected Hazard Data,Identified Climate Proxies for this Hazard,Technical Description of the Proxy,What is the Connection Between the Proxy and the Hazard?,What are the Change Dimensions Indicated by the Proxy?,How Well Does the Proxy Represent the Hazard?,What Is the Level of Confidence in the Direction of the Proxy?,What Is the Level of Confidence in the Magnitude of the Proxy? ,,What Is the Data Resolution?,Datasets Technical Documentation,Access to the Data Portal,"Data ""Readiness""",Data Citations,Data Source Evaluation Against CCCS Data Standards,CCCR Link,Overall Trend for the Hazard by 2100,,End-User Type,General Comments,Expert Reviewer,
Teah,Phase 1.1,,Heavy snowfall,"<b> Mechanisms and Drivers </b>
Heavy snowfall occurs when moist air is lifted and cooled, causing water vapor to condense and freeze into snowflakes that accumulate rapidly under the right conditions. This hazard is driven by factors such as high atmospheric moisture, cold surface temperatures, and low-pressure systems, often common in Canadian winters. Additionally, in regions like the Great Lakes, lake-effect snow can also lead to intense snowfall. These mechanisms make heavy snow events a frequent and impactful hazard across Canada.
<b> Role of Climate Change </b>
As global temperatures rise, warmer winter air can hold more moisture, potentially increasing the intensity of snowstorms in areas where temperatures remain below freezing. However, in some areas, rising temperatures may shift precipitation from snow to rain, reducing overall snowfall. These shifts in temperature and moisture patterns can make heavy snowfall events less predictable, with some regions seeing more intense snowstorms while others experience fewer.",General,DST,"snow, glacier and ice sheet",N/A,Snow Depth,,Snow Depth,"This proxy represents the accumulation of snowfall over time and its persistence under cold conditions. High snow depth can indicate prolonged snowfall, low temperatures preventing melt, and minimal wind dispersion, all of which contribute to snow-related risks.
Caution Note: Currently the climate projection data available for snow depth are from an ensemble of global climate model projections from the Coupled Model Intercomparison Project Phase 5 (CMIP5) at 1x1 degree grid resolution. ",,,,,,,1x1° (~110x110 km)  ? TBC,,"CCCS Viewer and Extractor (2024/2025)
CCDS CMIP6",Currently Available,,,"Canada’s Changing Climate Report (2019)
•	5: Changes in Snow, Ice and Permafrost Across Canada ",,,,,,"Increased snow depth could add substantial weight to roofs and structural elements, potentially leading to roof collapses, sagging, or other structural damages. Increase in snow depth around the building could also lead to drainage issues, causing possible water infiltration and damage to the building."
Teah,Phase 1.1,,Heavy snowfall,"Mechanisms & Drivers
For snow to fall, moisture must be present in the atmosphere. Snow forms when the atmospheric temperature is at or below freezing (0°C or 32°F). Depending on the ground temperature, the snow will either reach the ground of begin to melt. As a general rule, snow will not form if the ground temperature is at least 5°C (41°F). While it can be too warm to snow, it cannot be too cold to snow. Snow can occur even at incredibly low temperatures, as long as there is some source of moisture and some way to lift or cool the air. It is true, however, that most heavy snowfalls occur when there is relatively warm air near the ground—typically -9°C (15°F) or warmer—since warmer air can hold more water vapor. Because snow formation requires moisture, very cold but very dry areas may rarely receive snow. Heavy snowfall occurs when 10-20 cm or more of snow falls within 12-24 hours or less, with specific values depending on the region in Canada. 

The role of climate change
Snow forecasts and projections are better than they used to be, and they continue to improve, but heavy snow still remains a difficult challenge for meteorologists and climatologists. One reason is that during intense snows, the heaviest snowfall can occur in surprisingly narrow bands, and on a smaller scale than climate models can resolve. Also, the extremely small temperature differences that define the boundary line between rain and snow make large differences. Because conditions in the atmosphere and on the ground can vary, each storm might produce a different type of snowfall. In addition, snow does not fall evenly everywhere. Even during the same storm, one neighborhood may receive deep snow, while an adjacent neighborhood may only receive a light dusting. Climate change will impact when and where heavy snowfall happens. ",General,,"snow, glacier and ice sheet",N/A,,,Snowfall,,,,,,,,50km?,,TBC,Coming in the next year,,,"Canada’s Changing Climate Report (2019)
•	5: Changes in Snow, Ice and Permafrost Across Canada ",,,,"This data is currently being calculated for a number of snowfall related variables such as total snow, first fall snow, last spring snow etc.",PCIC folks?,
Carly/Pouriya,Phase 1.1,Wind,Hurricanes and Tropical Cyclones,"<b> Mechanisms and Drivers </b>
Tropical cyclones, including hurricanes, are large storm systems that develop over warm ocean waters. They require specific conditions: warm sea surface temperatures, warm and moist atmosphere, an existing atmospheric disturbance, Coriolis force for rotation, and vertical wind shear. In Canada, tropical cyclones rarely form but can impact the country when they travel northward, sometimes transforming into extratropical cyclones, which draw energy from temperature differences instead of warm ocean waters.
<b> Role of Climate Change </b>
Climate change can intensify tropical cyclones by warming ocean temperatures and increasing atmospheric moisture, which enhances storm strength and precipitation. Rising sea levels exacerbate storm surge impacts and shifts in atmospheric pressure patterns may increase the likelihood of storms impacting Canada’s Atlantic regions.",General,"DST, CCCR2025",tropical cyclone,N/A,Sea Level Rise,Tier 1: High - Strong agreement in direction of change and amount of change,Relative Sea Level Change,"This proxy represents the combination of the effects from global sea-level change (from factors like ice melt and thermal expansion) and the vertical motion of the land. The relative sea level change is essential for assessing storm surge risks as higher sea levels raise the baseline for storm-driven flooding from Hurricanes. 
Caution Note: This proxy does not include storm surge itself but provides a baseline for understanding potential flood severity for coastal regions.","The relative sea level rise is an important proxy because it directly relates to the severity of the impact a hurricane can have due to increased risk of storm surge-induced flooding. As sea levels rise, storm surge becomes more of a threat to coastal communities because the baseline water level is higher. The confidence in the direction of relative sea level change is high, with sea levels rising due to melting ice caps and thermal expansion of seawater from global warming. ",Intensity,Low,High,Medium,,,,ClimateData.ca,,,,"Health in a Changing Climate (2022)
•	Ch 4.4.3.4 Hurricanes (mental health impacts)

Canada’s Changing Climate Report (2019)
•	Ch 7.4.1: Marine winds and storms",,,,,"Canadian Hurricane Centre (ECCC), ","Hurricanes and the relative sea level change proxy pose risks to buildings, particularly in coastal areas. Flooding, coastal erosion, and saltwater intrusion can compromise structural stability of buildings, impacting basements, foundations, and interior spaces."
Carly/Pouriya,Phase 1.1,Wind,Hurricanes and Tropical Cyclones,"<b> Mechanisms and Drivers </b>
Tropical cyclones, including hurricanes, are large storm systems that develop over warm ocean waters. They require specific conditions: warm sea surface temperatures, warm and moist atmosphere, an existing atmospheric disturbance, Coriolis force for rotation, and vertical wind shear. In Canada, tropical cyclones rarely form but can impact the country when they travel northward, sometimes transforming into extratropical cyclones, which draw energy from temperature differences instead of warm ocean waters.
<b> Role of Climate Change </b>
Climate change can intensify tropical cyclones by warming ocean temperatures and increasing atmospheric moisture, which enhances storm strength and precipitation. Rising sea levels exacerbate storm surge impacts and shifts in atmospheric pressure patterns may increase the likelihood of storms impacting Canada’s Atlantic regions.",General,"DST, CCCR2025",tropical cyclone,N/A,wind speed,"Tier 3: Low - Low agreement about direction and/or amount of change, high noise to signal ratio  ",Wind Speed,"This proxy measures the rate at which air moves, generally expressed in meters per second (m/s). It is a key factor in defining hurricanes and tropical cyclones, as high winds combined with extreme rainfall and storm surges can create dangerous conditions.
Caution Note: Currently, there is no single, compound proxy that accurately captures all aspects of this hazard. Wind Speed alone is a limited proxy, as it does not account for extreme rainfall or storm surges or the interaction between these factors. Additionally, the science is not yet able to reliably project long term wind speed for hurricanes due to model limitations and the specific atmospheric and oceanic conditions required for hurricane formation. Given these limitations, Wind Speed data should be used with high caution in assessing future hurricanes and tropical cyclones risks.","Wind speed is a direct measure of a hurricane’s strength and it determines the destructive potential of the hurricane. There is medium to high confidence that maximum wind speeds in tropical cyclones are increasing. This is linked to the warming of ocean waters, which provides more energy to fuel stronger winds. This may be accompanied by either unchanged or reduced frequency of tropical cyclones over all categories (medium confidence). The net effect on the frequency of intense tropical cyclones is thus uncertain. There is medium confidence that there will be a poleward expansion of the position of maximum tropical cyclone intensity in the western North Pacific and that tropical cyclone translation speeds will slow.",Intensity,Low,Low,Low,,,,CRBCPI/DVE Design Value Summaries,,,,"Health in a Changing Climate (2022)
•	Ch 4.4.3.4 Hurricanes (mental health impacts)

Canada’s Changing Climate Report (2019)
•	Ch 7.4.1: Marine winds and storms",,,,,,"High wind speeds during hurricanes and tropical cyclones place stress on buildings, potentially compromising their structural integrity. This can lead to damage to roofs, facade, and exterior components. "
Carly/Pouriya,Phase 1.1,Wind,Hurricanes and Tropical Cyclones,"Mechanisms and drivers 
Tropical cyclones, including hurricanes, are complex storm systems with low-pressure centers and organized convection. They require several key conditions to form: warm ocean waters (at least 26.5°C), a warm and moist atmosphere, a pre-existing atmospheric disturbance, sufficient Coriolis force to provide rotational spin (generally 4-5 degrees from the equator), and minimal vertical wind shear. These conditions enable continuous evaporation and condensation of water, releasing latent heat that powers the storm. 
In Canada, hurricanes rarely form directly due to cooler ocean temperatures. However, hurricanes from warmer southern waters can travel north and impact Canada. As they move into cooler regions, these storms undergo extratropical transition, drawing energy from temperature differences between air masses rather than warm ocean waters. This process can alter their structure and expand their impact, even though they lose some tropical characteristics. 

The role of climate change
Climate change could intensify these storms. Warmer oceans and increased moisture lead to stronger, wetter hurricanes, while rising sea levels amplify storm surge impacts. Shifts in atmospheric pressure patterns over the North Atlantic, as seen with Hurricane Sandy, may steer storms northward more often, potentially increasing their effects on regions like Atlantic Canada.",General,CCCR2025,tropical cyclone,N/A,Air Temperature ,Tier 1: High - Strong agreement in direction of change and amount of change,Mean temperature (seasonal),Mean temperature describes the average temperature for the 24-hour day.,"Air temperature can have a direct impact on the intensity and severity of a hurricane event. The mean temperatures influence the overall heat content of the ocean and atmosphere. Warmer air temperatures can hold more water vapor and provide more energy for storms to become intense. There is high confidence in the direction of change in mean seasonal temperatures with global warming driving higher temperatures. This warming trend contributes to an increased likelihood of more frequent and intense hurricanes, although the precise magnitude of this increase is subject to ongoing research.
",Frequency & Intensity,High,High,Medium,,,,ClimateData.ca,,,,"Health in a Changing Climate (2022)
•	Ch 4.4.3.4 Hurricanes (mental health impacts)

Canada’s Changing Climate Report (2019)
•	Ch 7.4.1: Marine winds and storms",,,,,,
Carly/Pouriya,Phase 1.1,Wind,Hurricanes and Tropical Cyclones,"<b> Mechanisms and Drivers </b>
Tropical cyclones, including hurricanes, are large storm systems that develop over warm ocean waters. They require specific conditions: warm sea surface temperatures, warm and moist atmosphere, an existing atmospheric disturbance, Coriolis force for rotation, and vertical wind shear. In Canada, tropical cyclones rarely form but can impact the country when they travel northward, sometimes transforming into extratropical cyclones, which draw energy from temperature differences instead of warm ocean waters.
<b> Role of Climate Change </b>
Climate change can intensify tropical cyclones by warming ocean temperatures and increasing atmospheric moisture, which enhances storm strength and precipitation. Rising sea levels exacerbate storm surge impacts and shifts in atmospheric pressure patterns may increase the likelihood of storms impacting Canada’s Atlantic regions.",General,"DST, CCCR2025",tropical cyclone,N/A,Precipitation,Tier 1: High - Strong agreement in direction of change and amount of change,Max 1-day Total Precipitation,"This proxy reflects the maximum precipitation during a single day and serves as an indicator of the severity of single-day rainfall events. 
Caution Note: Currently, there is no single, compound proxy that adequately capture the specific conditions needed for hurricanes and tropical cyclones. The science is not yet able to reliably project precipitation data coupled with hurricanes due to model limitations and the specific atmospheric and oceanic conditions required for hurricane formation. Given these limitations, the maximum precipitation data should be used with high caution in assessing future hurricanes and tropical cyclones risks.","Extreme precipitation events associated with a hurricanes and tropical cyclones is directly related to the intensity and duration of the event and the damage it can lead to. The maximum 1-day total precipitation measures the potential for heavy rainfall during a storm. Extreme precipitation levels can lead to severe flooding. There is high confidence that the maximum precipitation associated with hurricanes is increasing. This is attributed to the higher capacity of a warmer atmosphere to hold moisture, leading to more intense rainfall events.",Intensity and duration,High,Medium,Medium,,,,ClimateData.ca,,,,"Health in a Changing Climate (2022)
•	Ch 4.4.3.4 Hurricanes (mental health impacts)

Canada’s Changing Climate Report (2019)
•	Ch 7.4.1: Marine winds and storms",,,,,,"Flood from extreme rain events and hurricanes and tropical cyclones pose risks to buildings, leading to structural damage, foundation erosion, and flooded basements. "
Carly/Pouriya,Phase 1,Wind,Hurricanes and Tropical Cyclones,"Mechanisms and drivers 
Tropical cyclones, including hurricanes, are complex storm systems with low-pressure centers and organized convection. They require several key conditions to form: warm ocean waters (at least 26.5°C), a warm and moist atmosphere, a pre-existing atmospheric disturbance, sufficient Coriolis force to provide rotational spin (generally 4-5 degrees from the equator), and minimal vertical wind shear. These conditions enable continuous evaporation and condensation of water, releasing latent heat that powers the storm. 
In Canada, hurricanes rarely form directly due to cooler ocean temperatures. However, hurricanes from warmer southern waters can travel north and impact Canada. As they move into cooler regions, these storms undergo extratropical transition, drawing energy from temperature differences between air masses rather than warm ocean waters. This process can alter their structure and expand their impact, even though they lose some tropical characteristics. 

The role of climate change
Climate change could intensify these storms. Warmer oceans and increased moisture lead to stronger, wetter hurricanes, while rising sea levels amplify storm surge impacts. Shifts in atmospheric pressure patterns over the North Atlantic, as seen with Hurricane Sandy, may steer storms northward more often, potentially increasing their effects on regions like Atlantic Canada.",General,CCCR2025,tropical cyclone,N/A,Sea Surface Temperature,Tier 1: High - Strong agreement in direction of change and amount of change,Sea Surface Temperature,"Sea surface temperature (SST) is defined as the temperature of the top few millimeters of the ocean. This temperature directly or indirectly  impacts the rate of all physical, chemical, and most biological processes occurring in the ocean","Sea surface temperature is an important part of the formation and intensification of tropical cyclones. Warmer sea surface temperatures provide the necessary heat energy to fuel these storms and support their development.
There is high confidence in the rising trend of sea surface temperatures. Higher sea surface temperatures are likely to increase both the frequency and intensity of tropical cyclones, as they enable more robust storm systems to form and persist. In addition, extended periods of warmer ocean temperatures can prolong the hurricane seasons, allowing storms to form earlier in the springs and later into the fall. This could potentially increase the window of time during which tropical cyclones can develop and intensify. Furthermore, as ocean waters warm, these storms could shift northward, increasing the intensity and frequency of hurricanes in the higher latitudes. 
",Intensity and duration and frequency,High,High,Medium,CMIP5/6,1x1° (~110x110 km),,CCDS,,,,"Health in a Changing Climate (2022)
•	Ch 4.4.3.4 Hurricanes (mental health impacts)

Canada’s Changing Climate Report (2019)
•	Ch 7.4.1: Marine winds and storms","Slower, wetter, faster, and more northerly",,,,,
Carly/Pouriya,Phase 1.1,Wind,Hurricanes and Tropical Cyclones,"Mechanisms and drivers 
Tropical cyclones, including hurricanes, are complex storm systems with low-pressure centers and organized convection. They require several key conditions to form: warm ocean waters (at least 26.5°C), a warm and moist atmosphere, a pre-existing atmospheric disturbance, sufficient Coriolis force to provide rotational spin (generally 4-5 degrees from the equator), and minimal vertical wind shear. These conditions enable continuous evaporation and condensation of water, releasing latent heat that powers the storm. 
In Canada, hurricanes rarely form directly due to cooler ocean temperatures. However, hurricanes from warmer southern waters can travel north and impact Canada. As they move into cooler regions, these storms undergo extratropical transition, drawing energy from temperature differences between air masses rather than warm ocean waters. This process can alter their structure and expand their impact, even though they lose some tropical characteristics. 

The role of climate change
Climate change could intensify these storms. Warmer oceans and increased moisture lead to stronger, wetter hurricanes, while rising sea levels amplify storm surge impacts. Shifts in atmospheric pressure patterns over the North Atlantic, as seen with Hurricane Sandy, may steer storms northward more often, potentially increasing their effects on regions like Atlantic Canada.",General,CCCR2025,tropical cyclone,N/A,Sea surface temperature,,Sea surface temperature,,,,Moderate,,,CMIP5/6,1x1° (~110x110 km),,CCDS,,,,"Health in a Changing Climate (2022)
•	Ch 4.4.3.4 Hurricanes (mental health impacts)

Canada’s Changing Climate Report (2019)
•	Ch 7.4.1: Marine winds and storms","Slower, wetter, faster, and more northerly",,,,,
Carly/Pouriya,Phase 1.1,Wind,Hurricanes and Tropical Cyclones,"<b> Mechanisms and Drivers </b>
Tropical cyclones, including hurricanes, are large storm systems that develop over warm ocean waters. They require specific conditions: warm sea surface temperatures, warm and moist atmosphere, an existing atmospheric disturbance, Coriolis force for rotation, and vertical wind shear. In Canada, tropical cyclones rarely form but can impact the country when they travel northward, sometimes transforming into extratropical cyclones, which draw energy from temperature differences instead of warm ocean waters.
<b> Role of Climate Change </b>
Climate change can intensify tropical cyclones by warming ocean temperatures and increasing atmospheric moisture, which enhances storm strength and precipitation. Rising sea levels exacerbate storm surge impacts and shifts in atmospheric pressure patterns may increase the likelihood of storms impacting Canada’s Atlantic regions.",General,"DST, CCCR2025",tropical cyclone,N/A,Storm surge,,Storm Surge,"This proxy reflects the rise in water levels due to hurricane winds pushing seawater toward the coast, increasing flood risk during storms.
Caution Note: Currently, there is no single, compound proxy that adequately capture the specific conditions needed for hurricanes and tropical cyclones. The science is not yet able to reliably storm surge data coupled with hurricanes. As a result, storm surge data should be used with high caution in assessing future hurricanes and tropical cyclones risks.",,,Moderate,,,,,,"The following sources provide information on storm surge in Canada:
Canadian Extreme Water Level Adaptation Tool (CAN-EWLAT)
Projections of global-scale extreme sea levels and resulting episodic coastal flooding over the 21st Century | Scientific Reports
Numerical investigation of climate change effects on storm surges and extreme waves on Canada’s Pacific Coast
CanCoast 2.0: data and indices to describe the sensitivity of Canada's marine coasts to changing climate",,,,"Health in a Changing Climate (2022)
•	Ch 4.4.3.4 Hurricanes (mental health impacts)

Canada’s Changing Climate Report (2019)
•	Ch 7.4.1: Marine winds and storms","Slower, wetter, faster, and more northerly",,,,,"Storm surges, driven by hurricanes and tropical cyclones, pose risks to buildings in coastal and low-lying regions. Storm surge can flood structures, impact foundations, damage walls, and flood interior spaces, leading to long-term structural and material degradation. "
Teah,Phase 1.1,Snow and Ice,Icebergs,"Mechanisms and drivers
Icebergs are large pieces of glacial ice that break off the end of a glacier/ice sheet that terminates in the ocean. This process is referred to as calving. Calving can occur for several reasons, including the development of deep fractures/crevasses in the glacier surface that fill with water, increasing stress until the ice fractures. Another mechanism that can drive calving is the development of unstable ice cliffs; when retreat occurs, it can create unstable ice cliffs hundreds of metres tall at the end of the glacier, which can be unstable and collapse. Icebergs can be a major threat to ships, and may become a bigger hazard in the future as more shipping takes place in the north.
Reference: Alley, R. B., Cuffey, K. M., Bassis, J. N., Alley, K. E., Wang, S., Parizek, B. R., Anandakrishnan, S., Christianson, K., & DeConto, R. M. (2023). Iceberg Calving: Regimes and Transitions. Annual Review of Earth and Planetary Sciences, 51(Volume 51, 2023), 189–215. https://doi.org/10.1146/annurev-earth-032320-110916

The role of climate change
Widespread glacier retreat is occurring as temperatures rise, increasing the risk of developing unstable ice cliffs that increase calving. Additionally, higher temperatures can affect glacier flow. Increased flow rates, or sudden changes due to an influx of rain/meltwater, can increase fractures in the ice surface and increase calving.",General,,"Snow, glacier and ice sheet",N/A,Air Temperature,"Tier 4: Not Applicable - Early stages of modelling and analysis, next steps and/or experiments proposed to advance scientific understanding","N/A, Narrative",N/A,,N/A,Poor,,low,,,,,Research Grade,,,"Canada’s Changing Climate Report (2019)
• Ch. 5.4 Glaciers and ice caps",,,,,,
,Future Phase,Snow and Ice,Lake and river ice,,,,"Lake, river and sea ice",N/A,,,,,,,Moderate,,,,,,,,,,CCCR 2019 Ch 5.5: Lake and river ice,CCCR 2019 Ch 5.4 Key message 1: The duration of seasonal lake ice cover has declined across Canada over the past five decades due to later ice formation in fall and earlier spring breakup ,,,,,
,Future Phase,Wet and Dry,Landslide,"Ground movements involve the displacement of a mass of soil, rock or snow with a volume up to several million cubic metres, at a relatively fast rate. Generally speaking, a landslide occurs when the soil’s ability to resist it decreases. In most cases, water is a trigger and plays a role in two ways:
- Intense precipitation increases pressure in the soil and reduces its resistance. This is particularly the case when the soil is already saturated with water, such as after snowmelt or after heavy rains lasting several days. 
- Wave action, which favours fluvial and coastal erosion when water levels are high, can destabilize and weaken embankments. 
- Other meteorological and climatic factors can also trigger landslides, such as rapid snowmelt, thawing permafrost in northern environments, and freeze-thaw cycles in coastal environments. 
The expected increase in extreme precipitation and storms in summer and autumn is likely to increase soil instability in landslide-prone areas in many parts of Canada.",,,Landslide,N/A,Precipitation,,,,,,Poor,,,CanDCS-U5/U6,6x10 km,,ClimateData.ca,Currently Available,,,"Health in a Changing Climate (2022)
• Ch. 3.11 Landslides, Avalanches, and Thawing Permafrost
• Ch. 7.4 Projected Health Security Risks and Impacts
• Table 10.5 Canadian health facility vulnerabilities to climate change hazards

Regional Perspectives Report (2020-2022)
• Ch. 5.1.1. B.C. – Provincial Overview
• Ch. 5.3.3. B.C. – Flood Risks – Observed and projected impacts 

National Issues Report (2021)
• Case Story 2.5 Community climate change resilience planning in the Tsleil-Waututh Nation
• Table 5.1 Intergovernmental Science Policy Platform on Biodiversity and Ecosystem Services (IPBES) classification of ecosystem services
• Ch. 9.5.2 The climate-migration nexus",,,,,,
,Future Phase,Wet and Dry,Lightning,"The distribution of lightning around the planet is directly linked to the Earth’s climate, which is driven by solar insolation. The diurnal and seasonal heating of the continental landmasses results in large fluctuations in temperature, influencing atmospheric stability, and the development of thunderstorms. Lightning activity is positively correlated with surface temperatures on short time scales. Lightning itself is also linked to variations in upper tropospheric water vapour, and tropospheric ozone, both of which are strong greenhouse gases. ",,,N/A,,N/A,,Precipitation * convective available potential energy,,"For USA: Lightning occurs more frequently when it is hotter than when it is colder. Romps et al. constructed a proxy based on the energy available to make air rise in the atmosphere and on precipitation rates to model the frequency of lightning strikes across the continental United States. They predict that the number of lightning strikes will increase by about 12% for every degree of rise in global average air temperature.

** Given the success of CAPE × P in replicating the time series of observed lightning flashes, it is a natural candidate for assessing future changes in flash rates due to global warming. 
https://www.science.org/doi/10.1126/science.1259100
//
In a future warmer climate we may have less thunderstorms overall, but more intense thunderstorms, which may increase the amount of lightning by 10% for every one degree global warming. 

It needs to be emphasized that lightning-climate relationship based on data for short periods, and different regions, in the present climate cannot always be used as a proxy for future global warming. Different locations may be influenced by factors such as topography, vegetation, atmospheric circulation patterns, ocean currents, etc., that may complicate their use as proxies for surface warming. 
(https://link.springer.com/chapter/10.1007/978-1-4020-9079-0_24).",,,,,,,,,,,,"Health in a Changing Climate (2022)
• Ch. 3.8.1 Impacts of Climate Change on Wildfire – Trends and Projections
• Ch. 5.6.1 Wildfires in Canada in a Changing Climate 

Regional Perspectives Report (2020-2022)
• Table 4.1 The twenty most damaging Canadian weather events since 1983.
• Table 4.3.1 Prairies – Weather hazards
• Case Story 4.2 The 2016 Fort McMurray wildfire

National Issues Report (2021)
• Table 6.1 Top 10 most costly weather-related disasters in Canada, in terms of insured losses (1983-2018)",,,,,,
Cary,Phase 1,Heat and Cold,Long term changes in Mean Temperature,"Mechanisms and drivers
Long-term changes in mean temperature refer to trends in temperature patterns over extended periods, typically spanning decades to centuries. Long-term changes in temperature can have significant implications for ecosystems, human comfort and resource availability. They can influence agricultural productivity, building cooling demand, outdoor infrastructure and alter habitats for plant and animal species.

Earth’s long-term climate and average temperature are regulated by a balance between energy arriving from the sun (in the form of shortwave radiation) and energy leaving the Earth (in the form of longwave radiation). When this balance is disrupted in a persistent way, global temperature rises or falls. When less energy is leaving than is entering the system, it leads to a warmer climate. Some gasses in the atmosphere absorb longwave radiation, effectively preventing it from leaving, leading to a “positive” change in this balance and a warmer average climate. Alterations in land use, such as deforestation, urbanization, and agriculture, can influence regional and local temperature patterns by altering surface albedo (reflectivity), evapotranspiration rates, and the distribution of heat-absorbing surfaces.

While not caused by climate change, CO2 concentrations are expected to continue to rise due to human emissions.",General,CCCR2025,Mean Surface Temperature,N/A,Air Temperature,Tier 1: High - Strong agreement in direction of change and amount of change,Annual mean temperature,Mean temperature describes the average temperature for the 24-hour day across the whole year.,,,Good ,High,High,CanDCS-U5/U6,6x10 km,,ClimateData.ca,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.4: Average warming and extreme heat events

Regional Perspectives (2020-2022)
•	Case Story 3.5: Local actions to address extreme heat

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 2.1.2 Climate change impacts in cities and towns
•	Box 2.4: Extreme heat
•	Case Story 5.7: Addressing urban heat island in Kingston, Ontario by increasing the urban tree canopy

Canada’s Changing Climate Report (2019)
•	Ch 4: Temperature
•	Ch 2.2.1: Global annual and extreme temperature changes",Warming,,,,,
Cary,Phase 1,Heat and Cold,Long term changes in Mean Temperature,"Mechanisms and drivers
Long-term changes in mean temperature refer to trends in temperature patterns over extended periods, typically spanning decades to centuries. Long-term changes in temperature can have significant implications for ecosystems, human comfort and resource availability. They can influence agricultural productivity, building cooling demand, outdoor infrastructure and alter habitats for plant and animal species.

Earth’s long-term climate and average temperature are regulated by a balance between energy arriving from the sun (in the form of shortwave radiation) and energy leaving the Earth (in the form of longwave radiation). When this balance is disrupted in a persistent way, global temperature rises or falls. When less energy is leaving than is entering the system, it leads to a warmer climate. Some gasses in the atmosphere absorb longwave radiation, effectively preventing it from leaving, leading to a “positive” change in this balance and a warmer average climate. Alterations in land use, such as deforestation, urbanization, and agriculture, can influence regional and local temperature patterns by altering surface albedo (reflectivity), evapotranspiration rates, and the distribution of heat-absorbing surfaces.

While not caused by climate change, CO2 concentrations are expected to continue to rise due to human emissions.",General,CCCR2025,Mean Surface Temperature,N/A,Air Temperature,,Mean temperature (seasonal),"Mean temperature describes the average temperature for the 24-hour day across a season (DJF, MAM, JJA, SON). ",,,Good ,,,CanDCS-U5/U6,6x10 km,,ClimateData.ca,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.4: Average warming and extreme heat events

Regional Perspectives (2020-2022)
•	Case Story 3.5: Local actions to address extreme heat

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 2.1.2 Climate change impacts in cities and towns
•	Box 2.4: Extreme heat
•	Case Story 5.7: Addressing urban heat island in Kingston, Ontario by increasing the urban tree canopy

Canada’s Changing Climate Report (2019)
•	Ch 4: Temperature
•	Ch 2.2.1: Global annual and extreme temperature changes",Warming,,,,,
,Phase 1,Heat and Cold,Long term changes in Mean Temperature,"Mechanisms and drivers
Long-term changes in mean temperature refer to trends in temperature patterns over extended periods, typically spanning decades to centuries. Long-term changes in temperature can have significant implications for ecosystems, human comfort and resource availability. They can influence agricultural productivity, building cooling demand, outdoor infrastructure and alter habitats for plant and animal species.

Earth’s long-term climate and average temperature are regulated by a balance between energy arriving from the sun (in the form of shortwave radiation) and energy leaving the Earth (in the form of longwave radiation). When this balance is disrupted in a persistent way, global temperature rises or falls. When less energy is leaving than is entering the system, it leads to a warmer climate. Some gasses in the atmosphere absorb longwave radiation, effectively preventing it from leaving, leading to a “positive” change in this balance and a warmer average climate. Alterations in land use, such as deforestation, urbanization, and agriculture, can influence regional and local temperature patterns by altering surface albedo (reflectivity), evapotranspiration rates, and the distribution of heat-absorbing surfaces.

While not caused by climate change, CO2 concentrations are expected to continue to rise due to human emissions.","General, Agriculture/Plants",CCCR2025,Mean Surface Temperature,,Air Temperature,Tier 1: High - Strong agreement in direction of change and amount of change,Growind Season Length / Frost Free season,"The number of days between the date of the last spring frost and the date of the first fall frost, equivalent to the number of consecutive days during the ‘summer’ without any daily minimum temperatures equal to or below 0 °C.",The growing season length indicates the length of time in which there are no freezing temperatures to kill or damage plants.,,,High,High,CanDCS-U5/U6,6x10 km,,ClimateData.ca,,,,"Health in a Changing Climate (2022)
•	Ch 3.4: Average warming and extreme heat events

Regional Perspectives (2020-2022)
•	Case Story 3.5: Local actions to address extreme heat

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 2.1.2 Climate change impacts in cities and towns
•	Box 2.4: Extreme heat
•	Case Story 5.7: Addressing urban heat island in Kingston, Ontario by increasing the urban tree canopy

Canada’s Changing Climate Report (2019)
•	Ch 4: Temperature
•	Ch 2.2.1: Global annual and extreme temperature changes",,,,,,
